service,mae,rmse
Local Route,8975.917347949779,10609.432659018568
Light Rail,5266.319530351896,5955.394747758613
Peak Service,210.3184720635562,248.8992817182729
Rapid Route,9591.286672151822,11418.750784326648
School,2542.608887601261,3080.6830833035365
